player_id,name,dob,birth_place,country,position,s1,s2,s3,s4,s5,s6,s7,s8,s9,lat,lon,venus_cycle,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,nn
sjobela01,Lars-Erik Sjöberg,1944-04-05,"Falun, Sweden",SE,D,79,7,27,34,-33,5.0,48,145.0,0.0,40.0,-27.0,White_4,ARIES,VIRGO,TAURUS,PISCES,CANCER,LEO,GEMINI,GEMINI,LIBRA,LEO,LEO
abrahth01,Thommy Abrahamsson,1947-04-08,"Umeå, Sweden",SE,D,32,6,11,17,-3,2.5,16,66.0,1.0,40.0,-27.0,White_1,ARIES,SCORPIO,PISCES,PISCES,PISCES,SCORPIO,LEO,GEMINI,LIBRA,LEO,GEMINI
ketolve01,Veli-Pekka Ketola,1948-03-28,"Pori, Finland",FI,C,44,9,5,14,-17,0.2,4,42.0,1.0,40.0,-27.0,Black_4,ARIES,SCORPIO,PISCES,TAURUS,LEO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS
levasje01,Jean-Louis Levasseur,1949-06-16,"Rouyn-Noranda, Quebec",CA,G,1,0,1,0,0,-0.1,60,7.0,0.806,40.0,-27.0,Blue_1,GEMINI,PISCES,GEMINI,CANCER,GEMINI,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,ARIES
morrike01,Kevin Morrison,1949-10-28,"Sydney, Nova Scotia",CA,D,41,4,11,15,-5,2.9,23,64.0,1.0,40.0,-27.0,Black_5,SCORPIO,AQUARIUS,LIBRA,SAGITTARIUS,VIRGO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES
hlinkiv01,Ivan Hlinka,1950-01-26,"Most, Czechoslovakia",CS,C,137,42,81,123,18,8.5,28,300.0,2.0,40.0,-27.0,Red_4,AQUARIUS,TAURUS,CAPRICORN,AQUARIUS,LIBRA,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,ARIES
bublaji01,Jiří Bubla,1950-01-27,"Ústí nad Labem, Czechoslovakia",CS,D,256,17,101,118,-56,15.4,202,334.0,2.0,40.0,-27.0,Red_4,AQUARIUS,TAURUS,CAPRICORN,AQUARIUS,LIBRA,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,ARIES
nilssul01,Ulf Nilsson,1950-05-11,"Nynashamn, Sweden",SE,C,170,57,112,169,30,12.9,85,257.0,10.0,40.0,-27.0,White_3,TAURUS,PISCES,TAURUS,ARIES,VIRGO,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES
plumbro01,Ron Plumb,1950-07-17,"Kingston, Ontario",CA,D,26,3,4,7,10,1.8,14,38.0,0.0,40.0,-27.0,White_3,CANCER,LEO,LEO,GEMINI,LIBRA,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES
edberro01,Rolf Edberg,1950-09-29,"Stockholm, Sweden",SE,C,184,45,58,103,10,6.7,24,317.0,9.0,40.0,-27.0,Blue_2,LIBRA,TAURUS,VIRGO,VIRGO,SAGITTARIUS,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,PISCES
guindbo01,Bobby Guindon,1950-11-19,"Labelle, Quebec",CA,LW,6,0,1,1,2,0.0,0,10.0,0.0,40.0,-27.0,Blue_2,SCORPIO,ARIES,SAGITTARIUS,SCORPIO,CAPRICORN,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,PISCES
fitchbo01,Bob Fitchner,1950-12-22,"Sudbury, Ontario",CA,C,78,12,20,32,-25,0.6,59,88.0,0.0,40.0,-27.0,Blue_2,CAPRICORN,GEMINI,CAPRICORN,CAPRICORN,AQUARIUS,PISCES,LIBRA,CANCER,LIBRA,LEO,PISCES
hedbean01,Anders Hedberg,1951-02-25,"Örnsköldsvik, Sweden",SE,RW,465,172,225,397,53,29.8,144,1220.0,21.0,40.0,-27.0,Black_1,PISCES,LIBRA,AQUARIUS,ARIES,PISCES,PISCES,LIBRA,CANCER,LIBRA,LEO,PISCES
lindswi01,Willy Lindström,1951-05-05,"Grums, Sweden",SE,RW,582,161,162,323,-2,18.8,200,1261.0,19.0,40.0,-27.0,Black_1,TAURUS,TAURUS,ARIES,GEMINI,TAURUS,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES
labrada01,Dan Labraaten,1951-06-09,"Leksand, Sweden",SE,LW,268,71,73,144,-35,8.4,47,406.0,8.0,40.0,-27.0,Black_1,GEMINI,LEO,GEMINI,LEO,GEMINI,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES
garrejo01,John Garrett,1951-06-17,"Trenton, Ontario",CA,G,207,68,91,37,1,23.4,11739,4.28,0.866,40.0,-27.0,Black_1,GEMINI,SCORPIO,GEMINI,LEO,GEMINI,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES
svensle01,Leif Svensson,1951-07-08,"Harnosand, Sweden",SE,D,121,6,40,46,-12,6.6,49,113.0,0.0,40.0,-27.0,Red_5,CANCER,VIRGO,CANCER,VIRGO,CANCER,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES
sullipe01,Peter Sullivan,1951-07-25,"Toronto, Ontario",CA,C,126,28,54,82,-62,4.1,40,208.0,3.0,40.0,-27.0,Red_5,LEO,ARIES,LEO,VIRGO,CANCER,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES
novymi01.,Milan Nový,1951-09-23,"Kladno, Czechoslovakia",CS,C,73,18,30,48,4,3.0,16,132.0,3.0,40.0,-27.0,Red_5,VIRGO,CANCER,VIRGO,VIRGO,LEO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES
dvorami01,Miroslav Dvořák,1951-10-11,"Hluboka-nad-Vltavou, Czechoslovakia",CS,D,193,11,74,85,59,14.7,51,249.0,1.0,40.0,-27.0,Red_5,LIBRA,PISCES,LIBRA,VIRGO,VIRGO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES
helanpe01,Peter Helander,1951-12-04,"Stockholm, Sweden",SE,D,7,0,1,1,-2,0.1,0,2.0,0.0,40.0,-27.0,White_4,SAGITTARIUS,AQUARIUS,CAPRICORN,LIBRA,LIBRA,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES
busnimi01,Mike Busniuk,1951-12-13,"Thunder Bay, Ontario",CA,D,143,3,23,26,66,9.0,297,89.0,1.0,40.0,-27.0,White_4,SAGITTARIUS,GEMINI,SAGITTARIUS,SCORPIO,LIBRA,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES
pouzaja01,Jaroslav Pouzar,1952-01-23,"Cakovec, Czechoslovakia",CS,LW,186,34,48,82,40,2.7,137,221.0,4.0,40.0,-27.0,White_4,AQUARIUS,SAGITTARIUS,CAPRICORN,SAGITTARIUS,SCORPIO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES
